Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Greenland,52953.5,49252.45,47520.086,51946.254,49968.973,60154.367,55261.266,62545.47,55727.66,61194.82,77434.97,76637.78,64041.523,64544.35,60480.35,64502.316,63640.645,63297.49,64539.72,62941.348,63375.285,63520.266,63520.266
Grenada,8030.945,8319.619,8525.037,8976.218,8654.664,9039.732,9290.929,9798.676,10349.056,9980.4795,10297.715,10196.201,10296.617,11516.319,9650.67,9958.878,10175.044,10974.274,10724.042,10655.754,8918.377,9432.062,9432.062
Guam,87275.984,119841.04,82767.82,69718.664,80743.29,94305.46,99310.29,71704.37,45162.445,71809.61,63885.816,56198.336,59909.613,50317.52,48555.64,51455.406,48375.195,44338.29,44438.316,44431.332,42094.266,44185.305,44185.305
Guatemala,4058.544,4133.946,4082.936,4382.797,4045.296,4087.143,4242.915,4454.024,4052.9338,4154.522,4004.3474,4004.556,4204.253,4409.617,4562.1045,5002.62,5357.698,5708.0923,5774.4165,5851.735,5734.4775,5712.118,5712.118
Guinea,933.22345,1009.3095,1035.3723,983.6432,1041.267,1031.7405,1027.6909,1066.2617,1051.0521,1076.7029,1202.3784,1194.9143,1131.1559,982.06683,990.09143,1171.2323,1285.7498,1261.2085,1122.0997,1201.7898,1356.6588,1281.525,1281.525
Guinea-Bissau,809.8549,807.33746,806.6247,916.40906,926.11926,915.8147,913.9182,946.6117,898.46826,907.2298,907.236,896.62317,890.10126,886.97314,907.5775,914.8769,928.79553,733.6317,719.8099,703.1273,656.3425,677.3281,677.3281
Guyana,9131.178,8915.736,9012.365,9282.544,9064.288,8189.165,7341.6763,9106.513,8685.301,8978.9375,9713.2295,10153.407,11516.412,11227.718,11144.22,11248.948,12634.438,12459.088,12371.177,14184.612,13816.492,13690.034,13690.034
Haiti,836.0804,893.391,961.6241,874.4462,990.22144,1015.81964,1022.4895,1084.6621,1075.1736,1005.77826,922.15204,958.5984,1037.8396,1075.7772,1142.4454,1284.612,1314.9376,1287.2642,1325.5319,1184.3462,977.08136,1030.8809,1030.8809
Honduras,3657.3855,3886.6245,3824.1345,4087.4094,4235.931,4243.7075,3989.0889,4827.8486,4677.777,4338.667,4439.492,4406.6816,4707.272,4629.147,4979.008,5439.805,5242.269,5456.1885,5896.7534,5640.568,5048.4497,5086.9336,5086.9336
Hungary,27524.092,28261.502,27680.426,28106.879,28622.2,30582.84,30034.668,29686.33,29320.72,27245.459,27819.338,27072.97,25308.668,24057.617,24145.828,25501.146,26030.773,27509.97,27740.646,28131.205,27724.254,29247.697,26660.49
Iceland,118057.81,117792.88,121304.664,121068.53,122384.42,120874.47,129510.24,144361.56,177673.47,176767.39,177121.83,176561.36,177259.34,181204.22,178940.12,184878.39,183038.08,186955.55,188294,175527.73,155754.6,156923.66,165870.88
India,3518.6821,3469.8364,3519.7168,3583.3396,3826.2053,3987.0566,4136.6675,4423.9287,4616.339,4892.3794,5033.775,5236.977,5447.3413,5555.5483,5857.2837,5988.8335,6184.2495,6346.3545,6633.665,6731.805,6317.096,6809.62,7143.4062
Indonesia,5435.4355,5740.4346,5815.386,6224.9414,6087.6787,6186.4365,6211.292,6579.23,6569.101,6662.824,7121.819,7429.8623,7574.457,7225.1826,7235.558,7266.8945,7212.07,7388.523,8026.891,8474.4795,7771.042,7871.8433,9854.455
Iran,21307.21,22379.375,24156.205,24372.035,26526.404,27646.453,29747.424,31167.166,31688.732,32012.967,32127.781,33133.56,33081.695,33749.086,34474.914,33567.574,34556.773,35336.23,36060.9,37636.082,38705.87,38225.703,38133.086
Iraq,13100.986,14176.429,13048.608,11233.329,11703.38,10743.436,10367.605,10543.257,11838.88,11209.113,12167.795,12087.509,12609.8,13361.737,12829.746,12457.778,13748.048,15090.169,14896.87,15430.376,12996.267,13267.278,14392.053
Ireland,45993.887,47836.67,46569.605,44674.87,44733.043,45659.78,45880.33,45259.535,44106.4,39248.785,39407.06,37465.4,36688.957,35956.3,35600.855,37274.28,38517.676,38225.68,38573.797,38270.875,35630.062,35991.977,37761.402
Israel,37170.773,36424.156,36462.848,36880.75,36929.9,36458.637,36028.926,36725.434,37139.566,35460.906,36229.89,36258.53,37267.684,34654.492,33226.094,34426.47,34475.207,34537.31,34493.293,35085.457,32593.809,32588.326,33643.016
Italy,36851.285,36802.125,36481.184,37436.27,37979.51,37805.06,37481.96,36549.08,35659.477,33102.94,34046.293,33284.145,32295.604,30816.12,29214.832,30129.14,30305.607,30716.617,30957.242,30464.062,27763.8,29723.066,28910.201
Jamaica,16542.139,16699.781,16544.623,17159.158,16704.465,17141.955,19489.295,19765.36,16746.21,13112.701,11996.119,12652.353,11797.367,12772.726,12533.961,12881.866,13296.951,11942.507,12335.036,15387.241,12098.731,12235.784,12235.784
Japan,49229.383,48662.785,48643.8,48392.92,48887.336,49007.164,48855.34,48292.938,47418.41,43254.305,46114.938,43712.98,43428.844,43171.46,42146.168,41622.67,41172.285,41783.035,41694.16,40868.688,38029.27,39995.086,39984.914
Jordan,13120.57,12340.564,12667.007,13522.985,14329.478,15157.3,14647.871,13221.179,12430.374,12645.595,12875.821,13144.025,13750.912,12796.636,11669.372,11497.137,11675.889,11783.324,11233.428,11258.242,9838.043,9183.148,9183.148
Kazakhstan,24267.602,27235.379,27638.352,30142.02,31813.24,32415.734,34517.496,37807.3,39400.227,34913.5,36949.332,41342.99,42868.23,42457.91,43947.973,36005.64,39906.78,42406.99,43320.58,43404.29,39590.598,42442.49,44701.98
Kenya,1478.989,1460.3776,1429.8123,1321.4634,1380.108,1454.5236,1549.1115,1513.085,1449.5537,1537.1414,1622.7236,1633.5077,1575.0422,1620.4467,1655.0222,1911.9027,1966.5875,1939.6578,2047.2719,1946.3412,1902.1184,1952.6938,1952.6938
Kiribati,1636.9808,1370.5415,1968.1482,2004.7972,2104.4172,2702.9736,2949.2144,2641.9128,2903.1602,2485.87,2429.8928,2205.633,2144.771,2137.1572,2120.318,2253.5444,2381.1416,2644.3162,2619.8926,2592.4326,2417.654,2446.6985,2446.6985
Kuwait,109536.43,107600.5,110790.81,128997.93,140627.27,149455.02,135875.58,124446.914,127302.03,124978.22,133508.61,128367.73,122214.484,116451.43,114804.984,114809.12,109505.66,109312.47,106945.27,94612.555,91131.37,98065.5,103882.75
Kyrgyzstan,14177.031,13327.09,11277.386,11796.489,11902.486,11085.9,11181.869,12160.274,11500.209,11463.955,10836.261,12183.774,13588.381,12564.967,12576.968,11097.164,11131.658,11335.21,11778.976,10582.124,10439.837,9274.61,9274.61
