Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dominican Rep.,86.21111,83.80706,88.52087,81.2121,75.58158,83.079445,82.92249,85.242294,84.75504,83.73564,87.79959,86.39796,95.89783,91.43549,87.788315,97.34283,103.54014,102.12164,112.90603,120.77078,104.46019,111.04068,111.04068
Ecuador,104.128815,105.482956,104.10937,106.60742,114.05594,120.72479,127.68567,134.25255,143.2851,139.80513,155.19421,164.64429,173.93344,179.50916,188.56316,188.04614,187.40384,194.6563,205.89233,210.90688,182.47687,212.21162,218.7167
Egypt,568.53345,593.31384,610.2438,645.99164,682.05383,699.4166,736.6443,784.57935,831.8381,861.6713,895.11176,938.07916,975.21545,968.1441,955.8868,971.7204,1025.5828,1065.9023,1067.1521,1047.6891,983.7346,1053.1913,1105.4683
El Salvador,29.402664,30.5312,31.272413,33.36593,33.27612,34.426746,36.386955,37.939373,37.234364,35.896305,37.190758,37.24407,37.562363,36.514393,37.35043,38.633717,38.950665,38.684814,41.71052,45.666763,42.259533,44.681767,44.681767
Eq. Guinea,3.2545538,1.8517739,28.258074,30.617418,6.2173076,22.617237,27.631754,30.564075,30.279116,32.082115,30.814402,33.128353,32.21646,33.239258,31.289293,27.943586,27.598911,30.995258,28.107082,27.40286,18.08033,20.266384,20.266384
Eritrea,2.5992396,2.8474114,2.5962582,3.1118126,3.3888624,3.3910127,2.3323069,2.3950188,1.7113456,2.0677683,2.0614183,2.102094,2.2337594,2.2805402,2.3813727,2.3641987,2.4062965,2.643787,3.018665,3.276569,3.1348097,3.3107688,3.3107688
Estonia,55.48696,57.842796,57.605877,62.8241,64.10208,64.46618,63.68122,73.75527,67.85399,58.717308,73.148674,72.96339,73.48276,77.46262,74.157715,68.61995,70.76304,78.48454,77.87433,62.762756,58.78595,61.62568,61.668427
Eswatini,6.2694864,6.323241,6.5148754,5.991857,5.8219347,6.0242815,6.1294856,6.38719,6.1733627,6.025186,5.661273,5.7878337,5.7382684,5.6512094,5.7376,5.68842,6.0186443,6.394685,6.757853,6.7606983,6.6292934,7.131119,7.131119
Ethiopia,19.304592,21.01949,21.595362,23.357014,24.974146,28.678482,31.471079,34.836338,36.469288,37.707485,41.786682,47.21692,52.61914,61.418804,69.58626,73.31093,84.99689,86.0149,91.52436,105.21818,100.7959,104.836815,104.836815
Falkland Is.,0.11572172,0.12846471,0.14130038,0.15418118,0.16701825,0.167017,0.19273679,0.1927337,0.19764054,0.19758543,0.18957193,0.18727766,0.19355738,0.19360867,0.19354507,0.19889024,0.20819582,0.20015317,0.20730382,0.20691307,0.1767433,0.1870031,0.1870031
